skills,roadmap category layer1,roadmap category layer2,roadmap category layer3
AWS CodePipeline,Release Management,,
BMC RLM,Release Management,,
AWS Lambda,Serverless/PaaS,,
Azure Functions,Serverless/PaaS,,
Heroku,Serverless/PaaS,,
Google Firebase,Serverless/PaaS,,
Cloud Foundry,Serverless/PaaS,,
,,,
HTTP/HTTPS,Internet,,
Browsers,Internet,,
DNS,Internet,,
Domain Name,Internet,,
Hosting,Internet,,
HTML,,,
CSS,,,
Javascrip,,,
,,,
Python,Devops Programming Language,,
Ruby,Devops Programming Language,,
Node.js,Devops Programming Language,,
Go,Devops Programming Language,,
Rust,Devops Programming Language,,
C,Devops Programming Language,,
C++,Devops Programming Language,,
